date,itemid,fiscalyear,Item,sheet,Nominal millions of dollars,Real 2019 millions of dollars,Real 2019 per capita dollars,Share of GDP,Share of Total revenue
1867,100,1867,Net federal debt,all,76,1638.166259765625,473.0483093261719,.2079586237668991,
1867,200,1867,Financial assets,all,17,366.4319152832031,105.8134307861328,.0465170629322529,
1867,300,1867,Gross federal debt,all,93,2004.59814453125,578.8616943359375,.2544756829738617,
1867,310,1867,Unmatured debt,all,69,1487.282470703125,429.4780578613281,.1888045370578766,
1867,311,1867,Treasury bills,all,0,0,0,0,
1867,312,1867,Canada savings bonds,all,0,0,0,0,
1867,313,1867,Marketable bonds,all,69,1487.282470703125,429.4780578613281,.1888045370578766,
1867,320,1867,Superannuation accounts,all,0,0,0,0,
1867,330,1867,Other liabilities,all,24,517.315673828125,149.3836822509766,.0656711459159851,
1867,401,1867,Unmatured debt payable in foreign currencies,all,67,1444.1728515625,417.0294189453125,.1833319514989853,
1867,521,1867,Debt charges,all,,,,,
1867,530,1867,Cash deficit (+) or surplus (-),all,,,,,
1868,100,1867/1868,Net federal debt,all,76,1726.696533203125,491.7962341308594,.2051155567169189,5.428571224212646
1868,200,1867/1868,Financial assets,all,21,477.113525390625,135.8910675048828,.0566766671836376,1.5
1868,300,1867/1868,Gross federal debt,all,97,2203.81005859375,627.687255859375,.2617922127246857,6.928571224212646
1868,310,1867/1868,Unmatured debt,all,73,1658.537475585938,472.3832092285156,.1970188915729523,5.214285850524902
1868,311,1867/1868,Treasury bills,all,0,0,0,0,0
1868,312,1867/1868,Canada savings bonds,all,0,0,0,0,0
1868,313,1867/1868,Marketable bonds,all,73,1658.537475585938,472.3832092285156,.1970188915729523,5.214285850524902
1868,320,1867/1868,Superannuation accounts,all,0,0,0,0,0
1868,330,1867/1868,Other liabilities,all,24,545.2725830078125,155.3040618896484,.064773328602314,1.714285731315613
1868,401,1867/1868,Unmatured debt payable in foreign currencies,all,67,1522.219360351563,433.5572204589844,.1808255463838577,4.785714149475098
1868,521,1867/1868,Debt charges,all,4,90.87876892089844,25.88401222229004,.0107955550774932,.2857142984867096
1868,530,1867/1868,Cash deficit (+) or surplus (-),all,0,0,0,0,0
1869,100,1868/1869,Net federal debt,all,76,1767.913330078125,495.9083557128906,.2020086050033569,5.428571224212646
1869,200,1868/1869,Financial assets,all,36,837.4326782226563,234.9039764404297,.0956882908940315,2.571428537368774
1869,300,1868/1869,Gross federal debt,all,112,2605.345947265625,730.8123168945313,.2976968884468079,8
1869,310,1868/1869,Unmatured debt,all,89,2070.319580078125,580.7348022460938,.2365627139806747,6.357142925262451
1869,311,1868/1869,Treasury bills,all,0,0,0,0,0
1869,312,1868/1869,Canada savings bonds,all,0,0,0,0,0
1869,313,1868/1869,Marketable bonds,all,89,2070.319580078125,580.7348022460938,.2365627139806747,6.357142925262451
1869,320,1868/1869,Superannuation accounts,all,0,0,0,0,0
1869,330,1868/1869,Other liabilities,all,23,535.0264282226563,150.0775451660156,.061134185642004,1.642857193946838
1869,401,1868/1869,Unmatured debt payable in foreign currencies,all,76,1767.913330078125,495.9083557128906,.2020086050033569,5.428571224212646
1869,521,1868/1869,Debt charges,all,5,116.3100891113281,32.62554931640625,.0132900401949883,.3571428656578064
1869,530,1868/1869,Cash deficit (+) or surplus (-),all,1,23.26201820373535,6.525110244750977,.0026580081321299,.0714285746216774
1870,100,1869/1870,Net federal debt,all,78,1737.41650390625,479.2873229980469,.203893318772316,4.875
1870,200,1869/1870,Financial assets,all,38,846.4336547851563,233.4989318847656,.0993326380848885,2.375
1870,300,1869/1870,Gross federal debt,all,116,2583.85009765625,712.7862548828125,.303225964307785,7.25
1870,310,1869/1870,Unmatured debt,all,86,1915.613037109375,528.4449462890625,.2248054444789886,5.375
1870,311,1869/1870,Treasury bills,all,0,0,0,0,0
1870,312,1869/1870,Canada savings bonds,all,0,0,0,0,0
1870,313,1869/1870,Marketable bonds,all,86,1915.613037109375,528.4449462890625,.2248054444789886,5.375
1870,320,1869/1870,Superannuation accounts,all,0,0,0,0,0
1870,330,1869/1870,Other liabilities,all,30,668.2371215820313,184.3412780761719,.0784205049276352,1.875
1870,401,1869/1870,Unmatured debt payable in foreign currencies,all,76,1692.867309570313,466.9978637695313,.1986652761697769,4.75
1870,521,1869/1870,Debt charges,all,5,111.3728485107422,30.72354507446289,.0130700841546059,.3125
1870,530,1869/1870,Cash deficit (+) or surplus (-),all,2,44.54914093017578,12.28941822052002,.0052280337549746,.125
1871,100,1870/1871,Net federal debt,all,78,1728.9482421875,468.6766662597656,.1890010982751846,4.105263233184814
1871,200,1870/1871,Financial assets,all,38,842.30810546875,228.3296508789063,.0920774564146996,2
1871,300,1870/1871,Gross federal debt,all,116,2571.25634765625,697.00634765625,.2810785472393036,6.105263233184814
1871,310,1870/1871,Unmatured debt,all,84,1861.944213867188,504.7286987304688,.20353963971138,4.4210524559021
1871,311,1870/1871,Treasury bills,all,0,0,0,0,0
1871,312,1870/1871,Canada savings bonds,all,0,0,0,0,0
1871,313,1870/1871,Marketable bonds,all,84,1861.944213867188,504.7286987304688,.20353963971138,4.4210524559021
1871,320,1870/1871,Superannuation accounts,all,0,0,0,0,0
1871,330,1870/1871,Other liabilities,all,32,709.3120727539063,192.2776031494141,.0775389149785042,1.684210538864136
1871,401,1870/1871,Unmatured debt payable in foreign currencies,all,76,1684.6162109375,456.6593017578125,.1841549128293991,4
1871,521,1870/1871,Debt charges,all,5,110.8300094604492,30.04337501525879,.0121154552325606,.2631579041481018
1871,530,1870/1871,Cash deficit (+) or surplus (-),all,0,0,0,0,0
1872,100,1871/1872,Net federal debt,all,82,1688.66455078125,449.8307189941406,.1833410114049911,3.904761791229248
1872,200,1871/1872,Financial assets,all,40,823.7388305664063,219.4296264648438,.0894346386194229,1.904761910438538
1872,300,1871/1872,Gross federal debt,all,122,2512.4033203125,669.2603149414063,.2727756500244141,5.809523582458496
1872,310,1871/1872,Unmatured debt,all,85,1750.444946289063,466.2879333496094,.1900486052036285,4.047618865966797
1872,311,1871/1872,Treasury bills,all,0,0,0,0,0
1872,312,1871/1872,Canada savings bonds,all,0,0,0,0,0
1872,313,1871/1872,Marketable bonds,all,85,1750.444946289063,466.2879333496094,.1900486052036285,4.047618865966797
1872,320,1871/1872,Superannuation accounts,all,0,0,0,0,0
1872,330,1871/1872,Other liabilities,all,37,761.9584350585938,202.972412109375,.0827270448207855,1.761904716491699
1872,401,1871/1872,Unmatured debt payable in foreign currencies,all,76,1565.103759765625,416.9162902832031,.1699258089065552,3.61904764175415
1872,521,1871/1872,Debt charges,all,5,102.9673538208008,27.42870330810547,.0111793298274279,.2380952388048172
1872,530,1871/1872,Cash deficit (+) or surplus (-),all,4,82.37387847900391,21.94296264648438,.0089434636756778,.190476194024086
1873,100,1872/1873,Net federal debt,all,100,2103.8046875,549.8705444335938,.2050154954195023,4.761904716491699
1873,200,1872/1873,Financial assets,all,30,631.1414184570313,164.9611663818359,.0615046508610249,1.428571462631226
1873,300,1872/1873,Gross federal debt,all,130,2734.9462890625,714.8317260742188,.2665201425552368,6.190476417541504
1873,310,1872/1873,Unmatured debt,all,84,1767.196044921875,461.8912963867188,.1722130179405212,4
1873,311,1872/1873,Treasury bills,all,0,0,0,0,0
1873,312,1872/1873,Canada savings bonds,all,0,0,0,0,0
1873,313,1872/1873,Marketable bonds,all,84,1767.196044921875,461.8912963867188,.1722130179405212,4
1873,320,1872/1873,Superannuation accounts,all,0,0,0,0,0
1873,330,1872/1873,Other liabilities,all,46,967.7501831054688,252.9404602050781,.0943071320652962,2.190476179122925
1873,401,1872/1873,Unmatured debt payable in foreign currencies,all,76,1598.8916015625,417.901611328125,.1558117717504501,3.61904764175415
1873,521,1872/1873,Debt charges,all,5,105.1902389526367,27.49352836608887,.0102507751435041,.2380952388048172
1873,530,1872/1873,Cash deficit (+) or surplus (-),all,18,378.6848754882813,98.97670745849609,.0369027890264988,.8571428656578064
1874,100,1873/1874,Net federal debt,all,108,2261.646728515625,580.6538696289063,.2224313765764236,4.320000171661377
1874,200,1873/1874,Financial assets,all,33,691.0587158203125,177.4220123291016,.067965142428875,1.320000052452087
1874,300,1873/1874,Gross federal debt,all,141,2952.705322265625,758.0758056640625,.290396511554718,5.639999866485596
1874,310,1873/1874,Unmatured debt,all,95,1989.411499023438,510.7603454589844,.1956572383642197,3.799999952316284
1874,311,1873/1874,Treasury bills,all,0,0,0,0,0
1874,312,1873/1874,Canada savings bonds,all,0,0,0,0,0
1874,313,1873/1874,Marketable bonds,all,95,1989.411499023438,510.7603454589844,.1956572383642197,3.799999952316284
1874,320,1873/1874,Superannuation accounts,all,0,0,0,0,0
1874,330,1873/1874,Other liabilities,all,46,963.2939453125,247.3155212402344,.0947392955422401,1.840000033378601
1874,401,1873/1874,Unmatured debt payable in foreign currencies,all,86,1800.94091796875,462.3724975585938,.1771212816238403,3.440000057220459
1874,521,1873/1874,Debt charges,all,6,125.6470413208008,32.25854873657227,.0123572992160916,.239999994635582
1874,530,1873/1874,Cash deficit (+) or surplus (-),all,8,167.5293884277344,43.01139450073242,.0164763983339071,.3199999928474426
1875,100,1874/1875,Net federal debt,all,116,2534.200439453125,640.9207153320313,.2563807964324951,4.639999866485596
1875,200,1874/1875,Financial assets,all,36,786.4760131835938,198.9064331054688,.0795664489269257,1.440000057220459
1875,300,1874/1875,Gross federal debt,all,152,3320.676513671875,839.8271484375,.3359472453594208,6.079999923706055
1875,310,1874/1875,Unmatured debt,all,108,2359.42822265625,596.7192993164063,.2386993616819382,4.320000171661377
1875,311,1874/1875,Treasury bills,all,0,0,0,0,0
1875,312,1874/1875,Canada savings bonds,all,0,0,0,0,0
1875,313,1874/1875,Marketable bonds,all,108,2359.42822265625,596.7192993164063,.2386993616819382,4.320000171661377
1875,320,1874/1875,Superannuation accounts,all,0,0,0,0,0
1875,330,1874/1875,Other liabilities,all,44,961.2484741210938,243.1078643798828,.0972478836774826,1.759999990463257
1875,401,1874/1875,Unmatured debt payable in foreign currencies,all,100,2184.65576171875,552.5178833007813,.2210179269313812,4
1875,521,1874/1875,Debt charges,all,7,152.9258880615234,38.67625045776367,.0154712544754148,.2800000011920929
1875,530,1874/1875,Cash deficit (+) or surplus (-),all,7,152.9258880615234,38.67625045776367,.0154712544754148,.2800000011920929
1876,100,1875/1876,Net federal debt,all,125,2910.2333984375,725.925048828125,.2964403331279755,5.4347825050354
1876,200,1875/1876,Financial assets,all,36,838.147216796875,209.06640625,.0853748172521591,1.56521737575531
1876,300,1875/1876,Gross federal debt,all,161,3748.380615234375,934.9913940429688,.3818151652812958,7
1876,310,1875/1876,Unmatured debt,all,120,2793.823974609375,696.8880004882813,.2845827341079712,5.217391490936279
1876,311,1875/1876,Treasury bills,all,0,0,0,0,0
1876,312,1875/1876,Canada savings bonds,all,0,0,0,0,0
1876,313,1875/1876,Marketable bonds,all,120,2793.823974609375,696.8880004882813,.2845827341079712,5.217391490936279
