"date","itemid","fiscalyear","Item","Normalization","Value"
1867,100,"1867","Net federal debt","Nominal millions of dollars",76
1867,200,"1867","Financial assets","Nominal millions of dollars",17
1867,300,"1867","Gross federal debt","Nominal millions of dollars",93
1867,310,"1867","Unmatured debt","Nominal millions of dollars",69
1867,311,"1867","Treasury bills","Nominal millions of dollars",0
1867,312,"1867","Canada savings bonds","Nominal millions of dollars",0
1867,313,"1867","Marketable bonds","Nominal millions of dollars",69
1867,320,"1867","Superannuation accounts","Nominal millions of dollars",0
1867,330,"1867","Other liabilities","Nominal millions of dollars",24
1867,401,"1867","Unmatured debt payable in foreign currencies","Nominal millions of dollars",67
1867,521,"1867","Debt charges","Nominal millions of dollars",NA
1867,530,"1867","Cash deficit (+) or surplus (-)","Nominal millions of dollars",NA
1868,100,"1867/1868","Net federal debt","Nominal millions of dollars",76
1868,200,"1867/1868","Financial assets","Nominal millions of dollars",21
1868,300,"1867/1868","Gross federal debt","Nominal millions of dollars",97
1868,310,"1867/1868","Unmatured debt","Nominal millions of dollars",73
1868,311,"1867/1868","Treasury bills","Nominal millions of dollars",0
1868,312,"1867/1868","Canada savings bonds","Nominal millions of dollars",0
1868,313,"1867/1868","Marketable bonds","Nominal millions of dollars",73
1868,320,"1867/1868","Superannuation accounts","Nominal millions of dollars",0
1868,330,"1867/1868","Other liabilities","Nominal millions of dollars",24
1868,401,"1867/1868","Unmatured debt payable in foreign currencies","Nominal millions of dollars",67
1868,521,"1867/1868","Debt charges","Nominal millions of dollars",4
1868,530,"1867/1868","Cash deficit (+) or surplus (-)","Nominal millions of dollars",0
1869,100,"1868/1869","Net federal debt","Nominal millions of dollars",76
1869,200,"1868/1869","Financial assets","Nominal millions of dollars",36
1869,300,"1868/1869","Gross federal debt","Nominal millions of dollars",112
1869,310,"1868/1869","Unmatured debt","Nominal millions of dollars",89
1869,311,"1868/1869","Treasury bills","Nominal millions of dollars",0
1869,312,"1868/1869","Canada savings bonds","Nominal millions of dollars",0
1869,313,"1868/1869","Marketable bonds","Nominal millions of dollars",89
1869,320,"1868/1869","Superannuation accounts","Nominal millions of dollars",0
1869,330,"1868/1869","Other liabilities","Nominal millions of dollars",23
1869,401,"1868/1869","Unmatured debt payable in foreign currencies","Nominal millions of dollars",76
1869,521,"1868/1869","Debt charges","Nominal millions of dollars",5
1869,530,"1868/1869","Cash deficit (+) or surplus (-)","Nominal millions of dollars",1
1870,100,"1869/1870","Net federal debt","Nominal millions of dollars",78
1870,200,"1869/1870","Financial assets","Nominal millions of dollars",38
1870,300,"1869/1870","Gross federal debt","Nominal millions of dollars",116
1870,310,"1869/1870","Unmatured debt","Nominal millions of dollars",86
1870,311,"1869/1870","Treasury bills","Nominal millions of dollars",0
1870,312,"1869/1870","Canada savings bonds","Nominal millions of dollars",0
1870,313,"1869/1870","Marketable bonds","Nominal millions of dollars",86
1870,320,"1869/1870","Superannuation accounts","Nominal millions of dollars",0
1870,330,"1869/1870","Other liabilities","Nominal millions of dollars",30
1870,401,"1869/1870","Unmatured debt payable in foreign currencies","Nominal millions of dollars",76
1870,521,"1869/1870","Debt charges","Nominal millions of dollars",5
1870,530,"1869/1870","Cash deficit (+) or surplus (-)","Nominal millions of dollars",2
